  
       XFOIL         Version 6.96
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.500  -0.3410   0.10621   0.09925  -0.0263   1.0000   0.2711
  -8.250  -0.3291   0.10240   0.09548  -0.0251   1.0000   0.2802
  -8.000  -0.3587   0.10280   0.09609  -0.0238   1.0000   0.2885
  -7.750  -0.3342   0.09804   0.09130  -0.0223   1.0000   0.3003
  -7.500  -0.3487   0.09645   0.08986  -0.0203   1.0000   0.3079
  -7.250  -0.3539   0.09474   0.08824  -0.0178   1.0000   0.3191
  -7.000  -0.3507   0.09182   0.08538  -0.0156   1.0000   0.3276
  -6.750  -0.3882   0.09242   0.08620  -0.0108   1.0000   0.3366
  -6.500  -0.3717   0.08866   0.08244  -0.0090   1.0000   0.3477
  -6.250  -0.4070   0.08840   0.08239  -0.0044   1.0000   0.3557
  -6.000  -0.4206   0.08715   0.08124  -0.0011   1.0000   0.3691
  -5.750  -0.4114   0.08412   0.07824   0.0019   1.0000   0.3819
  -5.500  -0.4177   0.08215   0.07635   0.0052   1.0000   0.3970
  -5.250  -0.4281   0.08049   0.07478   0.0087   1.0000   0.4150
  -5.000  -0.4512   0.07946   0.07387   0.0119   1.0000   0.4355
  -4.750  -0.4331   0.07637   0.07079   0.0164   1.0000   0.4583
  -4.500  -0.4314   0.05863   0.05189  -0.0290   1.0000   0.2245
  -4.250  -0.4061   0.05169   0.04446  -0.0335   1.0000   0.1898
  -4.000  -0.3795   0.04648   0.03857  -0.0369   1.0000   0.1744
  -3.750  -0.3552   0.04308   0.03475  -0.0383   1.0000   0.1689
  -3.500  -0.3276   0.03982   0.03076  -0.0400   1.0000   0.1648
  -3.250  -0.3046   0.03807   0.02876  -0.0402   1.0000   0.1675
  -3.000  -0.2805   0.03649   0.02684  -0.0405   1.0000   0.1710
  -2.750  -0.2551   0.03494   0.02488  -0.0409   1.0000   0.1738
  -2.500  -0.2291   0.03365   0.02309  -0.0411   1.0000   0.1773
  -2.250  -0.2061   0.03262   0.02207  -0.0410   1.0000   0.1837
  -2.000  -0.1821   0.03190   0.02114  -0.0410   1.0000   0.1953
  -1.750  -0.1587   0.03128   0.02045  -0.0408   1.0000   0.2103
  -1.500  -0.1351   0.03065   0.01990  -0.0406   1.0000   0.2310
  -1.250  -0.1094   0.03013   0.01949  -0.0407   1.0000   0.2753
  -1.000  -0.0812   0.02923   0.01921  -0.0413   1.0000   0.3787
  -0.750  -0.0716   0.02623   0.01894  -0.0359   1.0000   1.0000
  -0.500  -0.0468   0.02692   0.01880  -0.0368   1.0000   1.0000
  -0.250  -0.0042   0.02806   0.01942  -0.0410   0.9917   1.0000
   0.000   0.0506   0.02938   0.02029  -0.0473   0.9751   1.0000
   0.250   0.1051   0.03060   0.02116  -0.0532   0.9579   1.0000
   0.500   0.1570   0.03168   0.02194  -0.0585   0.9411   1.0000
   0.750   0.1995   0.03254   0.02259  -0.0620   0.9246   1.0000
   1.000   0.2387   0.03332   0.02321  -0.0648   0.9084   1.0000
   1.250   0.2766   0.03407   0.02382  -0.0673   0.8923   1.0000
   1.500   0.3130   0.03477   0.02441  -0.0693   0.8759   1.0000
   1.750   0.3483   0.03541   0.02497  -0.0711   0.8590   1.0000
   2.000   0.3833   0.03603   0.02551  -0.0726   0.8421   1.0000
   2.250   0.4186   0.03658   0.02602  -0.0740   0.8249   1.0000
