  
       XFOIL         Version 6.96
  
 Calculated polar for: E63  (4.25%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.750  -0.3756   0.09534   0.09227  -0.0145   1.0000   0.0167
  -5.500  -0.3745   0.09181   0.08876  -0.0118   1.0000   0.0173
  -5.250  -0.3710   0.08899   0.08597  -0.0112   1.0000   0.0178
  -5.000  -0.3657   0.08623   0.08323  -0.0116   1.0000   0.0186
  -4.750  -0.3576   0.08345   0.08048  -0.0131   1.0000   0.0192
  -4.500  -0.3467   0.08051   0.07756  -0.0153   1.0000   0.0200
  -4.250  -0.3324   0.07739   0.07445  -0.0185   1.0000   0.0210
  -4.000  -0.3109   0.07385   0.07090  -0.0234   0.9996   0.0224
  -3.750  -0.2080   0.06858   0.06542  -0.0511   0.9955   0.0269
  -3.500  -0.1748   0.06124   0.05807  -0.0588   0.9924   0.0280
  -3.250  -0.1508   0.05763   0.05443  -0.0611   0.9887   0.0298
  -3.000  -0.1023   0.05344   0.05015  -0.0702   0.9863   0.0328
  -2.750  -0.0258   0.04831   0.04478  -0.0861   0.9854   0.0383
  -2.500   0.0476   0.04201   0.03819  -0.1008   0.9854   0.0413
  -2.250   0.0864   0.03910   0.03525  -0.1056   0.9828   0.0454
  -2.000   0.1623   0.03438   0.03001  -0.1184   0.9835   0.0550
  -1.750   0.2042   0.03192   0.02746  -0.1230   0.9805   0.0624
  -1.500   0.2578   0.02912   0.02436  -0.1298   0.9793   0.0748
  -1.250   0.3106   0.02684   0.02170  -0.1360   0.9781   0.0973
  -1.000   0.3754   0.02246   0.01634  -0.1410   0.9805   0.0367
  -0.750   0.4232   0.02042   0.01368  -0.1442   0.9798   0.0281
  -0.500   0.4659   0.01917   0.01227  -0.1472   0.9779   0.0323
  -0.250   0.5093   0.01832   0.01131  -0.1501   0.9757   0.0369
   0.000   0.5554   0.01760   0.01051  -0.1537   0.9738   0.0445
   0.250   0.5940   0.01537   0.01046  -0.1561   0.9733   1.0000
   0.500   0.6292   0.01534   0.01024  -0.1577   0.9653   1.0000
   0.750   0.6717   0.01534   0.01007  -0.1607   0.9611   1.0000
   1.000   0.7075   0.01522   0.00986  -0.1623   0.9529   1.0000
   1.250   0.7470   0.01507   0.00965  -0.1646   0.9470   1.0000
   1.500   0.7858   0.01485   0.00940  -0.1667   0.9399   1.0000
   1.750   0.8236   0.01458   0.00916  -0.1684   0.9321   1.0000
   2.000   0.8658   0.01416   0.00876  -0.1710   0.9260   1.0000
   2.250   0.9018   0.01379   0.00843  -0.1722   0.9166   1.0000
   2.500   0.9477   0.01310   0.00781  -0.1753   0.9113   1.0000
   2.750   0.9828   0.01257   0.00743  -0.1761   0.9001   1.0000
   3.000   1.0198   0.01200   0.00696  -0.1772   0.8880   1.0000
   3.250   1.0606   0.01138   0.00644  -0.1790   0.8730   1.0000
   3.500   1.1043   0.01085   0.00602  -0.1815   0.8495   1.0000
   3.750   1.1602   0.01031   0.00548  -0.1865   0.8037   1.0000
   4.000   1.1982   0.01082   0.00532  -0.1872   0.6581   1.0000
   4.250   1.2143   0.01176   0.00576  -0.1843   0.5597   1.0000
   4.500   1.2286   0.01279   0.00634  -0.1814   0.4677   1.0000
   4.750   1.2385   0.01431   0.00711  -0.1780   0.3371   1.0000
   5.000   1.2506   0.01606   0.00805  -0.1754   0.2016   1.0000
   5.250   1.2603   0.01877   0.00971  -0.1725   0.0486   1.0000
   5.500   1.2782   0.02041   0.01135  -0.1703   0.0330   1.0000
   5.750   1.2970   0.02180   0.01291  -0.1682   0.0299   1.0000
   6.000   1.3157   0.02328   0.01453  -0.1662   0.0283   1.0000
   6.250   1.3351   0.02503   0.01641  -0.1643   0.0273   1.0000
   6.500   1.3572   0.02708   0.01858  -0.1628   0.0266   1.0000
   6.750   1.3797   0.02880   0.02040  -0.1618   0.0242   1.0000
   7.000   1.4046   0.03158   0.02340  -0.1610   0.0230   1.0000
   7.250   1.4308   0.03491   0.02706  -0.1601   0.0229   1.0000
   7.500   1.4548   0.03851   0.03118  -0.1583   0.0237   1.0000
