  
       XFOIL         Version 6.96
  
 Calculated polar for: MH 117  9.8%                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.250  -0.4085   0.09543   0.09193  -0.0300   1.0000   0.0510
  -9.000  -0.4077   0.09188   0.08843  -0.0314   1.0000   0.0523
  -8.750  -0.4099   0.08790   0.08449  -0.0332   1.0000   0.0537
  -8.500  -0.3773   0.06255   0.05945  -0.0431   1.0000   0.0340
  -8.250  -0.3865   0.05822   0.05518  -0.0434   1.0000   0.0326
  -8.000  -0.4050   0.05294   0.04999  -0.0449   1.0000   0.0316
  -7.750  -0.5242   0.04703   0.04332  -0.0570   1.0000   0.0259
  -7.500  -0.5260   0.04398   0.04003  -0.0557   1.0000   0.0257
  -7.250  -0.5279   0.04026   0.03616  -0.0538   1.0000   0.0249
  -7.000  -0.5319   0.03606   0.03167  -0.0520   1.0000   0.0243
  -6.750  -0.5303   0.03217   0.02737  -0.0502   1.0000   0.0236
  -6.500  -0.5231   0.02853   0.02324  -0.0486   1.0000   0.0230
  -6.250  -0.4891   0.02455   0.01858  -0.0512   0.9959   0.0228
  -6.000  -0.4527   0.02177   0.01531  -0.0534   0.9916   0.0234
  -5.750  -0.4155   0.01983   0.01302  -0.0554   0.9866   0.0248
  -5.500  -0.3781   0.01765   0.01069  -0.0577   0.9828   0.0289
  -5.250  -0.3425   0.01655   0.00951  -0.0595   0.9762   0.0386
  -5.000  -0.3031   0.01546   0.00844  -0.0620   0.9712   0.0658
  -4.750  -0.2651   0.01503   0.00799  -0.0643   0.9652   0.0936
  -4.500  -0.2269   0.01457   0.00750  -0.0666   0.9592   0.1153
  -4.250  -0.1843   0.01410   0.00698  -0.0697   0.9556   0.1372
  -4.000  -0.1501   0.01355   0.00650  -0.0712   0.9479   0.1580
  -3.750  -0.1097   0.01300   0.00601  -0.0737   0.9434   0.1855
  -3.500  -0.0746   0.01253   0.00564  -0.0753   0.9364   0.2185
  -3.250  -0.0386   0.01205   0.00527  -0.0769   0.9300   0.2583
